timestamp,throttle,brake,steer,joint_states,position_x,position_y,orientation_z,linear_velocity_x,angular_velocity_z
1732129444.21240922,0.377093685544863,0.16,-0.11896301567471107,"-6.34,0.66,0.77,32.17,30.42,32.00,30.16",59.969596755747084,-4.210800633708118,-0.5248879042408628,-8.918863312853198,-0.3609118942336138
1732129444.121156341,0.357093685544863,0.18,-0.21896301567471108,"-2.60,-0.41,-0.51,31.75,30.79,31.97,30.34",59.17270354747854,-4.558677342302592,-0.5364065941066005,-9.017880626639636,-0.3188523218035151
1732129444.220999270,0.33709368554486296,0.19999999999999998,-0.3189630156747111,"-2.85,-0.92,-1.18,32.34,30.51,32.12,29.95",58.43659502656056,-4.8449134541654715,-0.5496604529955593,-9.16763704896815,-0.45456147648326223
1732129444.320992425,0.31709368554486295,0.21999999999999997,-0.21896301567471108,"-5.90,-0.09,-0.12,32.60,30.26,32.18,29.49",57.643661229599054,-5.103661415634963,-0.5679913696581549,-9.288097915056905,-0.5312679026755308
1732129444.422385680,0.29709368554486293,0.23999999999999996,-0.11896301567471107,"2.18,1.07,1.25,32.33,30.07,31.86,29.60",56.82578218047376,-5.333678791245084,-0.5853238062218528,-9.295145016650807,-0.4006045963242346
1732129444.521034088,0.2770936855448629,0.25999999999999995,-0.018963015674711065,"7.57,0.10,0.12,31.57,30.17,31.39,29.94",56.09298138567293,-5.531907282913256,-0.5949627304979548,-9.222910154634928,-0.19547077358898618
1732129444.620940581,0.2570936855448629,0.27999999999999997,-0.06590128709483856,"8.18,-0.17,-0.26,30.31,30.34,30.37,30.51",55.27819821192965,-5.769195113132852,-0.5967453261868763,-9.08249495217449,-0.03327212410784073
1732129444.721607609,0.2370936855448629,0.3,0.03409871290516145,"2.78,-0.00,-0.08,30.30,29.83,30.42,29.84",54.56074510072167,-5.971057028022287,-0.5995759935514345,-9.022820238632175,-0.08674239238596446
1732129444.821107000,0.2170936855448629,0.32,-0.06590128709483856,"2.78,-0.60,-1.01,29.40,29.64,29.58,29.79",53.71986086977108,-6.2143347972616,-0.5995732610174236,-8.862672937964389,-0.00022739718075897404
1732129444.920997588,0.19709368554486292,0.34,0.03409871290516145,"-1.18,8.59,-3.58,28.81,29.18,29.29,28.67",52.89004561937108,-6.442462509753262,-0.6024440668769074,-8.734063068653855,-0.050509402323831276
1732129445.24728971,0.17709368554486293,0.36000000000000004,-0.06590128709483856,"0.26,-0.28,-0.60,28.29,28.22,28.46,28.47",52.04449737609619,-6.684414843356071,-0.6015891194009482,-8.563197289702533,-0.017854142791873955
1732129445.121371643,0.15709368554486294,0.38000000000000006,-0.012803744407851925,"-2.97,0.37,0.37,28.27,27.82,28.19,27.73",51.33205964144802,-6.875361664117722,-0.6042275934400742,-8.40800154453076,-0.06679089323620874
1732129445.221121556,0.13709368554486295,0.4000000000000001,0.08719625559214808,"3.02,0.70,0.48,26.40,27.64,27.12,27.27",50.60335193478965,-7.073392336897644,-0.6049278331344349,-8.136959748560338,0.0444215005544024
1732129445.323792478,0.11709368554486295,0.4200000000000001,0.1871962555921481,"6.74,1.24,0.97,25.31,27.47,26.23,27.01",49.95505347002215,-7.268666351842989,-0.6008135117046218,-7.845111652881437,0.2137134947701657
1732129445.420972604,0.09709368554486295,0.4400000000000001,0.08719625559214808,"4.73,-0.70,-0.55,24.67,26.18,24.80,26.48",49.267641303354424,-7.512339796375929,-0.589945287174394,-7.489195720176727,0.2946393556358585
1732129445.521047954,0.07709368554486294,0.46000000000000013,0.1871962555921481,"1.41,1.07,0.94,24.69,25.66,24.52,25.47",48.60539015235017,-7.7547712224244805,-0.5821621813787987,-7.1807042659453355,0.23289330608980888
1732129445.621046310,0.05709368554486294,0.48000000000000015,0.2871962555921481,"2.78,1.14,0.84,21.89,25.07,22.66,24.68",47.95766562997215,-8.020218476834794,-0.5709525434017793,-6.7222320938465066,0.3542724173242608
1732129445.720907228,0.037093685544862934,0.5000000000000001,0.18719625559214811,"3.24,-0.68,-0.48,21.55,23.62,20.75,23.78",47.36293557915887,-8.308181611343187,-0.5545976573840378,-6.2854891854487445,0.4085415969481069
1732129445.820970977,0.017093685544862933,0.5200000000000001,0.2871962555921481,"1.20,0.52,0.42,19.40,21.88,20.27,22.32",46.80164789744605,-8.594840666453656,-0.541569522383668,-5.888555348709717,0.3467022284250435
1732129445.920888404,0.0,0.5400000000000001,0.18719625559214811,"1.05,-1.00,-0.83,19.73,20.96,18.91,21.57",46.29491773925507,-8.883807573880231,-0.5268088266654266,-5.413201173938017,0.3606676684348553
1732129446.21043904,0.0,0.5600000000000002,0.2871962555921481,"-4.30,-0.12,-0.10,18.22,19.67,18.34,20.46",45.91364605193873,-9.109632302536081,-0.5171815786208285,-5.109540152069861,0.3111619868971186
1732129446.121159190,0.0,0.5800000000000002,0.18719625559214811,"-2.15,-0.51,-0.39,16.84,18.34,16.82,18.98",45.50312803322546,-9.373766928103104,-0.504777898711313,-4.694504820905769,0.31570352468092855
1732129446.220893757,0.0,0.6000000000000002,0.08719625559214811,"-2.92,-1.36,-1.18,16.01,17.14,16.17,17.93",45.111913016599516,-9.63064471783401,-0.4952167975394514,-4.40087416681971,0.1924295334985959
1732129446.320960269,0.0,0.6200000000000002,0.18719625559214811,"-6.36,-0.14,-0.12,15.08,16.00,15.58,16.69",44.828647305511296,-9.812595491617575,-0.49097875223178683,-4.139277925233938,0.1444083036897645
1732129446.421045100,0.0,0.6400000000000002,0.08719625559214811,"-2.49,-0.27,-0.29,13.14,14.13,13.60,14.53",44.41569270372525,-10.0968811033494,-0.4821086843923078,-3.64631794827942,0.12647413730168808
1732129446.522864462,0.0,0.6600000000000003,0.09904888450295335,"-1.02,-0.06,-0.02,11.84,12.81,12.56,13.45",44.11232738020382,-10.303411686137034,-0.47779131693443877,-3.296039492279907,0.09185508217796683
1732129446.622583698,0.0,0.6800000000000003,-0.0009511154970466562,"-1.88,-0.73,-0.85,10.40,10.93,10.99,11.70",43.821146529494555,-10.504821841428642,-0.47364575742162096,-2.9188491899984337,0.05786724245466198
1732129446.720945908,0.0,0.7000000000000003,-0.10095111549704666,"-6.23,-1.39,-1.30,9.30,9.66,10.02,10.43",43.575116881469505,-10.669926497684486,-0.4721981438227805,-2.573365282532291,0.011768550651675782
